,LMP,ba_name,freq,market,timestamp
120,40.5101,CAISO,5min,RTPD,2018-01-02 06:00:00+00:00
121,37.0001,CAISO,5min,RTPD,2018-01-02 06:15:00+00:00
122,32.4501,CAISO,5min,RTPD,2018-01-02 06:30:00+00:00
123,30.0,CAISO,5min,RTPD,2018-01-02 06:45:00+00:00
124,37.56781,CAISO,5min,RTPD,2018-01-02 07:00:00+00:00
125,32.3399,CAISO,5min,RTPD,2018-01-02 07:15:00+00:00
126,31.50664,CAISO,5min,RTPD,2018-01-02 07:30:00+00:00
127,31.89624,CAISO,5min,RTPD,2018-01-02 07:45:00+00:00
128,35.1743,CAISO,5min,RTPD,2018-01-02 08:00:00+00:00
129,30.1702,CAISO,5min,RTPD,2018-01-02 08:15:00+00:00
130,30.01,CAISO,5min,RTPD,2018-01-02 08:30:00+00:00
131,28.5801,CAISO,5min,RTPD,2018-01-02 08:45:00+00:00
132,28.7801,CAISO,5min,RTPD,2018-01-02 09:00:00+00:00
133,26.7001,CAISO,5min,RTPD,2018-01-02 09:15:00+00:00
134,22.83772,CAISO,5min,RTPD,2018-01-02 09:30:00+00:00
135,23.1806,CAISO,5min,RTPD,2018-01-02 09:45:00+00:00
136,24.17703,CAISO,5min,RTPD,2018-01-02 10:00:00+00:00
137,24.57723,CAISO,5min,RTPD,2018-01-02 10:15:00+00:00
138,25.41096,CAISO,5min,RTPD,2018-01-02 10:30:00+00:00
139,25.29763,CAISO,5min,RTPD,2018-01-02 10:45:00+00:00
140,26.49524,CAISO,5min,RTPD,2018-01-02 11:00:00+00:00
141,24.7419,CAISO,5min,RTPD,2018-01-02 11:15:00+00:00
142,25.74771,CAISO,5min,RTPD,2018-01-02 11:30:00+00:00
143,31.43156,CAISO,5min,RTPD,2018-01-02 11:45:00+00:00
144,29.96207,CAISO,5min,RTPD,2018-01-02 12:00:00+00:00
145,31.57055,CAISO,5min,RTPD,2018-01-02 12:15:00+00:00
146,31.19283,CAISO,5min,RTPD,2018-01-02 12:30:00+00:00
147,27.35588,CAISO,5min,RTPD,2018-01-02 12:45:00+00:00
148,23.79055,CAISO,5min,RTPD,2018-01-02 13:00:00+00:00
149,27.26043,CAISO,5min,RTPD,2018-01-02 13:15:00+00:00
150,33.39208,CAISO,5min,RTPD,2018-01-02 13:30:00+00:00
151,37.30697,CAISO,5min,RTPD,2018-01-02 13:45:00+00:00
152,29.34242,CAISO,5min,RTPD,2018-01-02 14:00:00+00:00
153,31.43693,CAISO,5min,RTPD,2018-01-02 14:15:00+00:00
154,41.46945,CAISO,5min,RTPD,2018-01-02 14:30:00+00:00
155,35.25511,CAISO,5min,RTPD,2018-01-02 14:45:00+00:00
156,34.31447,CAISO,5min,RTPD,2018-01-02 15:00:00+00:00
157,46.73149,CAISO,5min,RTPD,2018-01-02 15:15:00+00:00
158,28.27298,CAISO,5min,RTPD,2018-01-02 15:30:00+00:00
159,26.3,CAISO,5min,RTPD,2018-01-02 15:45:00+00:00
160,30.93,CAISO,5min,RTPD,2018-01-02 16:00:00+00:00
161,35.40103,CAISO,5min,RTPD,2018-01-02 16:15:00+00:00
162,27.76961,CAISO,5min,RTPD,2018-01-02 16:30:00+00:00
163,43.34063,CAISO,5min,RTPD,2018-01-02 16:45:00+00:00
164,55.0,CAISO,5min,RTPD,2018-01-02 17:00:00+00:00
165,42.33937,CAISO,5min,RTPD,2018-01-02 17:15:00+00:00
166,39.0002,CAISO,5min,RTPD,2018-01-02 17:30:00+00:00
167,33.33,CAISO,5min,RTPD,2018-01-02 17:45:00+00:00
168,32.96,CAISO,5min,RTPD,2018-01-02 18:00:00+00:00
169,30.38,CAISO,5min,RTPD,2018-01-02 18:15:00+00:00
170,28.1601,CAISO,5min,RTPD,2018-01-02 18:30:00+00:00
171,27.5201,CAISO,5min,RTPD,2018-01-02 18:45:00+00:00
172,28.9,CAISO,5min,RTPD,2018-01-02 19:00:00+00:00
173,28.1601,CAISO,5min,RTPD,2018-01-02 19:15:00+00:00
174,28.04417,CAISO,5min,RTPD,2018-01-02 19:30:00+00:00
175,26.9998,CAISO,5min,RTPD,2018-01-02 19:45:00+00:00
176,26.36,CAISO,5min,RTPD,2018-01-02 20:00:00+00:00
177,26.4401,CAISO,5min,RTPD,2018-01-02 20:15:00+00:00
178,27.68215,CAISO,5min,RTPD,2018-01-02 20:30:00+00:00
179,28.37597,CAISO,5min,RTPD,2018-01-02 20:45:00+00:00
180,27.4424,CAISO,5min,RTPD,2018-01-02 21:00:00+00:00
181,26.3299,CAISO,5min,RTPD,2018-01-02 21:15:00+00:00
182,28.1837,CAISO,5min,RTPD,2018-01-02 21:30:00+00:00
183,27.29335,CAISO,5min,RTPD,2018-01-02 21:45:00+00:00
184,27.34091,CAISO,5min,RTPD,2018-01-02 22:00:00+00:00
185,28.13267,CAISO,5min,RTPD,2018-01-02 22:15:00+00:00
186,30.31885,CAISO,5min,RTPD,2018-01-02 22:30:00+00:00
187,31.33822,CAISO,5min,RTPD,2018-01-02 22:45:00+00:00
188,27.37151,CAISO,5min,RTPD,2018-01-02 23:00:00+00:00
189,29.46486,CAISO,5min,RTPD,2018-01-02 23:15:00+00:00
190,33.77602,CAISO,5min,RTPD,2018-01-02 23:30:00+00:00
191,44.81864,CAISO,5min,RTPD,2018-01-02 23:45:00+00:00
